Date,Inv,Est,Order,Client,Descrip,Thk,Wd,Length,Piece_price,KG_price,Quantity,Total
01-02-2024,0339387,11,366118-20,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","290,0000","0,0000","0,00","7,72","1.787,00","14.244,00"
01-02-2024,0339344,11,366547-20,METALMATRIX,"TIRA ZC BOB 1,95 NBR7008 ZC CR MI RV Z","1,9500","87,0000","0,0000","0,00","7,92","10.867,00","88.863,81"
01-02-2024,0339383,11,365303-20,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","9,95","3.146,00","32.320,04"
01-02-2024,0339383,11,365303-30,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","9,95","1.778,00","18.266,06"
01-02-2024,0339383,11,365303-40,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","138,0000","0,0000","0,00","9,35","1.672,00","16.141,28"
01-03-2024,0340972,11,367810-30,HIDROJET,"CHAPA GR LTQ 8,00 SAE1010","8,0000","1.200,0000","2.930,0000","0,00","5,70","6.873,00","40.449,32"
01-04-2024,0342487,11,369273-10,MOFERKO,"CHAPA GR LTQ 9,50 SAE1045","9,5000","1.200,0000","1.650,0000","0,00","6,67","1.510,00","10.399,03"
01-04-2024,0342488,11,368886-10,METALSTAMP,"TIRA FF BOB 0,30 G4RL BbOL","0,3000","81,0000","0,0000","0,00","11,10","1.391,00","15.941,90"
01-07-2024,0347452,11,375357-10,ACOPLANO,"BOB FQ 3,35 SAE1010 ACAB","3,3500","1.500,0000","0,0000","0,00","5,54","13.685,00","78.278,88"
01-07-2024,0347452,11,375357-20,ACOPLANO,"BOB FQ 3,00 CSN ARQ CIVIL 300-Q03 ACAB","3,0000","1.200,0000","0,0000","0,00","5,54","11.955,00","68.383,20"
01-07-2024,0347483,11,375214-10,METMETALCIN,"TIRA FF BOB 0,30 G2L290 BbOL SMODI","0,3000","298,0000","0,0000","0,00","9,00","1.189,00","11.048,78"
01-08-2024,0349314,11,372729-30,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","9,30","5.814,00","55.827,48"
01-08-2024,0349295,11,376142-10,GPANIZ,"CHAPA FQ 4,75 NBR6658","4,7500","1.200,0000","3.000,0000","0,00","5,67","2.861,00","16.749,08"
01-10-2024,0352891,11,378736-10,ALUX,"CHAPA FQ 3,00 SAE1010","3,0000","1.200,0000","3.000,0000","0,00","6,02","5.074,00","31.538,21"
01-11-2024,0354986,11,381192-10,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","213,0000","0,0000","0,00","7,72","2.238,00","17.838,87"
01-11-2024,0354987,11,381055-80,ALCASTS/A,"CHAPA FQ 4,75 CSN GR A36","4,7500","1.500,0000","3.000,0000","0,00","5,70","8.049,00","47.370,38"
01-11-2024,0354987,11,381055-90,ALCASTS/A,"CHAPA GR LTQ 6,30 CSN GR A36","6,3000","1.500,0000","3.000,0000","0,00","5,70","4.576,00","26.930,90"
01-11-2024,0354979,11,381055-60,ALCASTS/A,"CHAPA FQ 4,25 ASTM A 36","4,2500","1.500,0000","3.000,0000","0,00","5,70","4.629,00","27.242,82"
02-04-2024,0342524,11,367458-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","9,95","5.260,00","54.037,95"
02-04-2024,0342524,11,367458-60,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","138,0000","0,0000","0,00","9,35","1.779,00","17.174,24"
02-04-2024,0342534,11,366547-30,METALMATRIX,"TIRA ZC BOB 1,95 NBR7008 ZC CR MI RV Z","1,9500","87,0000","0,0000","0,00","7,92","5.275,00","43.135,79"
02-07-2024,0347540,11,372155-20,GPANIZ,"CHAPA FF 0,60 NBR6658 OL","0,6000","1.200,0000","3.000,0000","0,00","7,07","2.732,00","19.942,99"
02-07-2024,0347540,11,372155-80,GPANIZ,"CHAPA FQ 3,35 NBR6658","3,3500","1.200,0000","3.000,0000","0,00","5,78","2.933,00","17.503,70"
02-07-2024,0347540,11,372155-90,GPANIZ,"CHAPA FQ 3,35 NBR6658","3,3500","1.200,0000","3.000,0000","0,00","5,78","1.460,00","8.713,06"
02-07-2024,0347540,11,372155-110,GPANIZ,"CHAPA ZC 0,50 NBR7008 ZC CR NO RV Z275","0,5000","1.000,0000","2.580,0000","0,00","8,30","2.863,00","24.535,19"
02-07-2024,0347542,11,369524-10,METALMATRIX,"TIRA FF BOB 1,50 NBR6658 OL","1,5000","120,0000","0,0000","0,00","7,12","2.361,00","17.356,66"
02-07-2024,0347542,11,373381-30,METALMATRIX,"TIRA FQ DEC BOB 2,25 NBR6658 OL","2,2500","110,0000","0,0000","0,00","7,34","533,00","4.039,37"
02-09-2024,0351140,11,378639-10,ACOPLANO,"BOB FQ 2,50 SAE1010 ACAB","2,5000","1.200,0000","0,0000","0,00","5,86","21.700,00","131.294,77"
02-09-2024,0351164,11,374971-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","9,30","5.748,00","55.193,73"
02-09-2024,0351164,11,374971-60,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","138,0000","0,0000","0,00","8,78","1.715,00","15.547,08"
02-09-2024,0351170,11,378845-10,METMETALCIN,"TIRA FF BOB 0,30 G2L290 BbOL SMODI","0,3000","295,0000","0,0000","0,00","9,95","901,00","9.256,31"
02-10-2024,0352944,11,380175-10,ACOPLANO,"BOB FQ 2,65 CSN ARQ CIVIL 300-Q03 ACAB","2,6500","1.200,0000","0,0000","0,00","6,11","23.035,00","145.318,03"
02-10-2024,0352964,11,378935-20,MOFERKO,"CHAPA GR LTQ 6,30 NBR6656 LNE 38","6,3000","1.200,0000","3.000,0000","0,00","6,90","738,00","5.257,70"
