Description,Product Type,Family Product
"PERFIL FQ CONT TP U ENRIJ 2,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 2,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 2,65 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 2,65 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 3,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 3,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 3,35 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 3,35 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 3,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 3,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 4,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 4,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 4,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ CONT TP U ENRIJ 4,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DEC DOB OL TP L 3,00 NBR 6658 BS <80",PERFIL FQ DECOL,PERFIL
"PERFIL FQ DEC DOB OL TP L 3,00 NBR 6658 BS =>80",PERFIL FQ DECOL,PERFIL
"PERFIL FQ DEC DOB OL TP L 3,00 SAE 1010 BS <80",PERFIL FQ DECOL,PERFIL
"PERFIL FQ DEC DOB OL TP L 3,00 SAE 1010 BS =>80",PERFIL FQ DECOL,PERFIL
"PERFIL FQ DOB 2,00 SEGUNDA QUALIDADE",PERFIL FQ,PERFIL
"PERFIL FQ DOB 2,25 SEGUNDA QUALIDADE",PERFIL FQ,PERFIL
"PERFIL FQ DOB 2,50 SEGUNDA QUALIDADE",PERFIL FQ,PERFIL
"PERFIL FQ DOB 2,65 SEGUNDA QUALIDADE",PERFIL FQ,PERFIL
"PERFIL FQ DOB 3,00 SEGUNDA QUALIDADE",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,25 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,25 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,25 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,25 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,65 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,65 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,65 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 2,65 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,35 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,35 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,35 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,35 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 3,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 4,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 4,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 4,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 4,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 4,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 4,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 4,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP CART 4,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,00 COS AR COR 400 BS < 80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,25 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,25 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,25 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,25 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,25 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,65 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,65 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,65 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 2,65 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,00 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,00 NBR 6658 BS",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,00 NBR 6658 BS <8",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,35 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,35 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,35 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,35 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 3,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,25 NBR 6658 BS <8",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,25 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,75 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP L 4,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,25 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,25 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,25 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,25 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,65 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,65 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,65 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 2,65 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,35 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,35 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,35 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,35 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 3,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 4,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 4,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 4,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 4,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 4,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 4,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 4,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-CART 4,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,25 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,25 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,25 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,25 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,65 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,65 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,65 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 2,65 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,35 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,35 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,35 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,35 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 3,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 4,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 4,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 4,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 4,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 4,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 4,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 4,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP SEMI-ENRIJ 4,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,00 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,00 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,00 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,00 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 NBR 6658 BS =>",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,25 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,50 NBR 6658 BS =>",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 NBR 6658 BS <8",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 NBR 6658 BS =>",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 2,65 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 NBR 6658 BS =>",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,00 USI SAC 350 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 NBR 6658 BS =>",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,35 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 NBR 6658 BS",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 NBR 6658 BS <8",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 3,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,25 NBR 6658 BS",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,25 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,25 NBR 6658 BS =>",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,25 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,50 SAE 1008 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,50 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,75 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,75 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,75 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,75 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,75 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,75 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,75 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U 4,75 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 1,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,00 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,00 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,00 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,00 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,00 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,00 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,00 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,00 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 COS AR COR 300 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 COS AR COR 300 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 COS AR COR 400 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 COS AR COR 400 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 NBR 6658",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 NBR 6658 B",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 SAE 1010 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,25 SAE 1010 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,50 NBR 6658 BS <80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,50 NBR 6658 BS =>80",PERFIL FQ,PERFIL
"PERFIL FQ DOB TP U ENRIJ 2,50 SAE 1010 BS <80",PERFIL FQ,PERFIL
