Date,Inv,Est,Order,Client,Descrip,Esp,Larg,Comp,Piece_price,KG_price,Quantity,Total
01-02-2022,0300917,11,329587-10,UTIMIL,"TIRA ZC BOB 0,80 NBR7008 ZC CR NO REV","0,8000","54,0000","0,0000","0,00","10,95","2.211,00","25.420,97"
01-02-2022,0300914,11,328739-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","11,62","3.630,00","42.180,60"
01-02-2022,0300918,11,330276-10,UTIMIL,"BLANK GA FF 0,90 NBR6658 OL","0,9000","285,0000","375,0000","0,00","7,90","391,00","3.243,35"
01-02-2022,0300915,11,328739-40,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","11,62","1.900,00","22.078,00"
01-02-2022,0300916,11,330826-10,GUARANY,"CHAPA FF 1,50 NBR5915 EP OL","1,5000","1.200,0000","3.000,0000","0,00","9,85","852,00","8.811,81"
01-04-2022,0304312,11,333833-10,VIEMME,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","40,0000","0,0000","0,00","12,60","1.984,00","25.935,84"
01-04-2022,0304363,11,332343-50,METALMATRIX,"TIRA ZC BOB 1,55 NBR7008 ZC CR MI REV","1,5500","20,0000","0,0000","0,00","10,20","1.374,00","14.540,36"
01-04-2022,0304376,11,334151-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","13,07","4.849,00","65.753,05"
01-06-2022,0307838,11,335964-20,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","13,07","1.784,00","24.074,68"
01-06-2022,0307838,11,336231-20,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","23,5000","0,0000","0,00","13,07","1.194,00","16.112,76"
01-07-2022,0309429,11,337202-20,METMETALCIN,"TIRA FF BOB 0,35 G4RL BbOL","0,3500","260,0000","0,0000","0,00","15,80","903,00","14.731,09"
01-08-2022,0310915,11,338979-10,LUPEME,"TIRA FQ DEC BOB 4,75 SAE1006 OL - 2022","4,7500","28,0000","0,0000","0,00","9,25","1.040,00","9.932,65"
01-08-2022,0310916,11,339087-10,METMETALCIN,"TIRA FF BOB 0,35 G4RL BbOL","0,3500","250,0000","0,0000","0,00","15,30","1.072,00","16.934,65"
01-09-2022,0312692,11,336231-30,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","23,5000","0,0000","0,00","12,34","5.220,00","66.508,28"
