Date,Inv,Est,Order,Client,Descrip,Thk,Wd,Length,Piece_price,KG_price,Quantity,Total
01-02-2021,0281482,11,311418-20,METALMATRIX,"TIRA FF BOB 1,50 NBR6658 OL","1,5000","93,0000","0,0000","0,00","7,94","4.129,00","34.423,47"
01-03-2021,0283233,11,315454-10,FLANTECH,"CHAPA GR LTQ 8,00 ASTM A 36","8,0000","1.200,0000","2.000,0000","0,00","8,65","2.154,00","18.632,10"
01-03-2021,0283231,11,314215-10,MOFERKO,"CHAPA FQ 4,25 NBR6658","4,2500","1.500,0000","3.000,0000","0,00","7,60","1.691,00","13.494,18"
01-03-2021,0283231,11,315273-30,MOFERKO,"CHAPA GR LTQ 8,00 NBR8300","8,0000","1.500,0000","3.000,0000","0,00","8,29","1.450,00","12.621,53"
01-04-2021,0285192,11,312385-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","25,0000","0,0000","0,00","11,19","3.402,00","38.068,38"
01-04-2021,0285193,11,314723-20,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","138,0000","0,0000","0,00","10,62","1.444,00","15.335,28"
01-04-2021,0285174,11,311515-10,GS,"TIRA ZC BOB 1,55 NBR7008 ZC CR NO REV","1,5500","30,0000","0,0000","0,00","9,14","939,00","9.011,58"
01-04-2021,0285174,11,311515-20,GS,"TIRA FF BOB 1,90 NBR6658 OL","1,9000","70,0000","0,0000","0,00","8,93","2.399,00","22.494,22"
01-04-2021,0285175,11,317260-20,MAQENGE,"TIRA FF BOB 0,60 NBR5915 EEP OL","0,6000","354,0000","0,0000","0,00","12,55","4.527,00","59.654,54"
01-04-2021,0285181,11,316055-10,KIFIXINDUST,"TIRA FQ DEC BOB 3,00 NBR6658 OL","3,0000","52,0000","0,0000","0,00","10,20","1.435,00","15.368,85"
01-05-2021,0286891,11,318363-30,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","73,0000","0,0000","0,00","11,83","1.699,00","20.099,17"
01-05-2021,0286891,11,314723-70,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","23,5000","0,0000","0,00","12,86","1.974,00","25.385,64"
01-06-2021,0288687,11,314223-40,METALMATRIX,"TIRA ZC BOB 1,95 NBR7008 ZC CR MI RV Z","1,9500","87,0000","0,0000","0,00","12,45","307,00","4.013,26"
01-06-2021,0288693,11,319028-10,AGROBENE,"CHAPA FQ 2,00 NBR6658","2,0000","1.200,0000","3.000,0000","0,00","10,29","2.257,00","24.385,76"
01-06-2021,0288693,11,319859-30,AGROBENE,"CHAPA FQ 3,00 NBR6658","3,0000","1.200,0000","3.000,0000","0,00","10,42","2.907,00","31.805,49"
01-06-2021,0288700,11,317901-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","14,45","1.902,00","27.483,90"
01-06-2021,0288700,11,318363-50,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","138,0000","0,0000","0,00","13,78","1.404,00","19.347,12"
01-09-2021,0293183,11,324336-10,MOFERKO,"CHAPA GR LTQ 9,50 NBR8300","9,5000","1.500,0000","3.000,0000","0,00","9,80","2.071,00","21.310,59"
01-09-2021,0293178,11,323924-20,AGROBENE,"CHAPA FQ 4,25 NBR6658","4,2500","1.500,0000","3.600,0000","0,00","10,30","2.936,00","31.752,84"
01-10-2021,0294682,11,320886-50,METALMATRIX,"TIRA ZC BOB 1,95 NBR7008 ZC CR MI RV Z","1,9500","32,0000","0,0000","0,00","11,65","7.452,00","91.156,59"
01-11-2021,0296291,11,325764-10,VIEMME,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","40,0000","0,0000","0,00","12,60","4.014,00","53.105,22"
01-12-2021,0297959,11,327138-20,METALMATRIX,"TIRA ZC BOB 1,95 NBR7008 ZC CR MI RV Z","1,9500","32,0000","0,0000","0,00","11,04","9.925,00","115.050,60"
01-12-2021,0297960,11,328008-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","23,5000","0,0000","0,00","11,70","1.451,00","16.976,70"
01-12-2021,0297960,11,327036-20,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","138,0000","0,0000","0,00","12,90","1.280,00","16.512,00"
01-12-2021,0297910,11,326273-10,METALMATRIX,"TIRA ZC BOB 1,95 NBR7008 ZC CR MI RV Z","1,9500","87,0000","0,0000","0,00","11,04","3.717,00","43.087,46"
01-12-2021,0297910,11,321432-100,METALMATRIX,"TIRA FF BOB 1,50 NBR6658 OL","1,5000","93,0000","0,0000","0,00","10,50","4.969,00","54.783,23"
02-02-2021,0281517,11,314020-10,GUARANY,"CHAPA FF 1,50 NBR5915 EP OL","1,5000","1.200,0000","3.000,0000","0,00","9,94","1.279,00","13.348,92"
02-02-2021,0281518,11,314391-10,PERFILLINE,"BOB ZC 2,70 NBR7008 ZC CR NO RV Z275 A","2,7000","1.200,0000","0,0000","0,00","9,92","12.400,00","129.158,40"
02-02-2021,0281520,11,311324-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","23,5000","0,0000","0,00","11,09","1.483,00","16.446,47"
