Date,Inv,Est,Order,Client,Descrip,Esp,Larg,Comp,Piece_price,KG_price,Quantity,Total
01-04-2015,0161376,11,202612-10,KEKO,"CHAPA FF 1,50 NBR5915 EM OL","1,5000","1.200,0000","1.595,0000","0,00","2,85","1.605,00","4.907,30"
01-04-2015,0161376,11,202612-40,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","2,53","1.474,00","4.011,49"
01-04-2015,0161376,11,202743-60,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.200,0000","3.000,0000","0,00","2,53","2.932,00","7.979,48"
01-04-2015,0161352,11,204258-10,UTIMIL,"TIRA ZC BOB 0,95 NBR7008 ZC CR NO REV","0,9500","30,0000","0,0000","0,00","4,05","1.733,00","7.369,58"
01-06-2015,0164747,11,206780-40,QUADRITECH,"TIRA FF BOB 1,90 NBR6658 OL","1,9000","83,0000","0,0000","0,00","2,83","735,00","2.247,30"
01-06-2015,0164746,11,206471-30,GPANIZ,"CHAPA ZC MINIM/PP 0,50 NBR7008 ZC F/V","0,5000","1.200,0000","1.840,0000","0,00","5,50","1.064,00","6.214,87"
01-06-2015,0164755,11,198816-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L32 BbOL","0,3000","260,0000","0,0000","0,00","5,60","1.055,00","6.203,40"
01-06-2015,0164755,11,202463-20,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,60","1.105,00","6.497,40"
01-06-2015,0164755,11,203983-30,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,60","1.015,00","5.968,20"
01-06-2015,0164749,11,206283-10,KEKO,"CHAPA FQ 4,25 SAE1020","4,2500","1.200,0000","3.000,0000","0,00","2,53","1.346,00","3.664,25"
01-06-2015,0164749,11,205414-90,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.500,0000","3.000,0000","0,00","2,53","3.008,00","8.188,74"
01-07-2015,0166354,11,207735-10,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.500,0000","3.000,0000","0,00","2,53","5.978,00","16.274,46"
01-07-2015,0166354,11,202688-70,KEKO,"CHAPA FQ 4,75 SAE1010","4,7500","1.200,0000","3.000,0000","0,00","2,53","1.374,00","3.740,56"
01-07-2015,0166348,11,209618-20,BASECOMPONE,"TIRA FF BOB 1,90 NBR6658 OL","1,9000","25,0000","0,0000","0,00","3,53","875,00","3.243,19"
01-07-2015,0166325,11,209650-10,LUNA,"CHAPA GR LTQ 6,30 NBR6656 LNE 38","6,3000","1.200,0000","3.000,0000","0,00","2,90","2.612,00","7.953,54"
01-07-2015,0002922,15,207263-10,LUPEME,"TIRA FF BOB 1,06 NBR5915 EP OL","1,0600","26,0000","0,0000","0,00","3,34","240,00","841,68"
01-09-2015,0169791,11,210711-10,VECTOR,"BLANK GA FF 0,90 NBR6658 OL","0,9000","411,0000","910,0000","0,00","3,44","3.948,00","14.260,18"
01-09-2015,0169791,11,210938-10,VECTOR,"BLANK GA FF 0,75 NBR6658 OL","0,7500","311,0000","574,0000","0,00","3,44","3.671,00","13.259,65"
01-09-2015,0169791,11,210938-20,VECTOR,"BLANK GA FF 0,90 NBR6658 OL","0,9000","654,0000","297,0000","0,00","3,44","2.304,00","8.322,05"
01-12-2015,0174861,11,211762-10,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L32 BbOL","0,3000","260,0000","0,0000","0,00","5,60","1.552,00","9.125,76"
01-12-2015,0174861,11,218456-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,60","1.115,00","6.556,20"
01-12-2015,0174861,11,211762-30,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,00","494,00","2.074,80"
01-12-2015,0174861,11,218452-30,METMETALCIN,"TR REL 0,35 BOB NBR5007 G2L32 BbOL","0,3500","260,0000","0,0000","0,00","5,60","404,00","2.375,52"
01-12-2015,0174861,11,211762-40,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,60","1.619,00","9.519,72"
01-12-2015,0174858,11,218347-10,ENGATCAR,"CHAPA FQ < 3,00 SEGUNDA QUALIDADE MD","2,9900","1.200,0000","3.000,0000","0,00","2,30","10.117,00","24.432,56"
01-12-2015,0174856,11,216411-40,FLANTECH,"CHAPA GR LTQ 9,00 SAE1010","9,0000","1.200,0000","2.000,0000","0,00","2,42","1.937,00","4.687,54"
02-01-2015,0155553,11,195859-10,FLANTECH,"CHAPA FQ 3,00 NBR6658","3,0000","1.200,0000","2.160,0000","0,00","2,63","1.221,00","3.211,23"
02-01-2015,0155555,11,199219-10,FLANTECH,"CHAPA GR LTQ 8,00 SAE1010","8,0000","1.200,0000","2.000,0000","0,00","2,53","2.013,00","5.092,89"
02-01-2015,0155555,11,199123-10,FLANTECH,"CHAPA GR LTQ 9,00 SAE1010","9,0000","1.200,0000","2.030,0000","0,00","2,53","6.401,00","16.194,53"
02-01-2015,0155560,11,195157-20,TECNOFRIO,"TIRA FF BOB 0,30 NBR6658 OL","0,3000","150,0000","0,0000","0,00","4,50","3.044,00","14.382,90"
02-01-2015,0155556,11,199244-30,FLANTECH,"CHAPA GR LTQ 9,50 SAE1010","9,5000","1.200,0000","2.000,0000","0,00","2,53","4.000,00","10.120,00"
02-01-2015,0155558,11,195788-20,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,52","2.061,00","11.945,56"
02-01-2015,0155558,11,195786-30,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,52","2.006,00","11.626,78"
02-01-2015,0155558,11,195786-40,METMETALCIN,"TR REL 0,35 BOB NBR5007 G2L32 BbOL","0,3500","260,0000","0,0000","0,00","5,52","1.136,00","6.584,26"
02-01-2015,0155558,11,195788-50,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,10","2.660,00","11.451,30"
02-02-2015,0002226,15,201643-10,ANDREMODENA,"CHAPA FF 0,60 NBR6658 OL","0,6000","1.200,0000","3.000,0000","0,00","3,15","2.693,00","8.907,10"
02-02-2015,0157460,11,201392-10,MAQENGE,"CHAPA FF 0,60 SAE1006 OL","0,6000","1.200,0000","3.000,0000","0,00","3,00","993,00","3.127,95"
02-02-2015,0157443,11,196644-10,LUPEME,"TIRA FF BOB 1,20 NBR5915 EP OL","1,2000","30,0000","0,0000","0,00","3,20","438,00","1.471,68"
02-02-2015,0157461,11,200749-10,ATIVICON,"CHAPA ZC 1,95 NBR7008 ZC CR NO RV Z275","1,9500","1.200,0000","3.000,0000","0,00","3,43","3.290,00","11.848,94"
02-03-2015,0159287,11,203322-10,GPANIZ,"CHAPA ZC 0,50 NBR7008 ZC CR NO RV Z275","0,5000","1.200,0000","3.000,0000","0,00","3,80","2.848,00","11.363,52"
02-03-2015,0159263,11,198812-10,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,80","3.579,00","21.796,11"
02-03-2015,0159263,11,199823-30,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,80","1.188,00","7.234,92"
02-03-2015,0159262,11,202644-10,PARTS,"CHAPA FF 0,90 NBR6658 OL","0,9000","1.200,0000","3.100,0000","0,00","2,97","1.263,00","3.938,67"
02-04-2015,0161464,11,204968-10,GPANIZ,"CHAPA ZC 0,50 NBR7008 ZC CR NO RV Z275","0,5000","1.000,0000","2.580,0000","0,00","3,80","929,00","3.769,96"
02-04-2015,0161441,11,203274-10,FLANTECH,"CHAPA FQ 3,00 NBR6658","3,0000","1.200,0000","2.160,0000","0,00","2,63","1.231,00","3.237,53"
02-04-2015,0161455,11,199222-10,VECTOR,"BLANK GA FF 0,90 NBR6658 OL","0,9000","411,0000","910,0000","0,00","3,44","5.513,00","19.912,96"
02-06-2015,0164858,11,208242-40,FLANTECH,"CHAPA GR LTQ 9,00 SAE1010","9,0000","1.200,0000","2.000,0000","0,00","2,53","12.596,00","31.867,88"
02-06-2015,0164801,11,207556-10,KEKO,"CHAPA FQ 4,25 NBR6656 LNE 38","4,2500","1.500,0000","3.000,0000","0,00","3,09","1.398,00","4.627,75"
02-06-2015,0164801,11,202699-20,KEKO,"CHAPA FQ 2,00 SAE1010","2,0000","1.200,0000","3.000,0000","0,00","2,78","1.429,00","4.265,21"
02-06-2015,0164801,11,206437-30,KEKO,"CHAPA FQ 3,00 SAE1010","3,0000","1.200,0000","3.000,0000","0,00","2,58","2.610,00","7.242,10"
02-06-2015,0164801,11,205414-90,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.500,0000","3.000,0000","0,00","2,53","3.056,00","8.319,20"
02-06-2015,0164799,11,200862-10,TRONCONTROL,"TR REL 0,80 BOB NBR5007 G2L490 BbOL","0,8000","25,4000","0,0000","0,00","5,15","881,00","4.821,22"
02-06-2015,0164799,11,200862-20,TRONCONTROL,"TR REL 0,80 BOB NBR5007 G2L490 BbOL","0,8000","26,5000","0,0000","0,00","5,15","458,00","2.506,39"
02-06-2015,0164860,11,205665-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","25,0000","0,0000","0,00","3,78","1.320,00","4.989,60"
02-07-2015,0166413,11,208431-10,METALMATRIX,"TIRA FF BOB 1,50 NBR6658 OL","1,5000","25,0000","0,0000","0,00","3,16","863,00","2.863,43"
02-07-2015,0166412,11,209630-20,PARTS,"CHAPA FF 1,90 NBR6658 OL","1,9000","1.200,0000","3.000,0000","0,00","2,75","1.491,00","4.305,26"
02-07-2015,0166412,11,209630-40,PARTS,"CHAPA FF 1,20 NBR6658 OL","1,2000","1.200,0000","3.000,0000","0,00","2,75","1.040,00","3.003,00"
02-07-2015,0166411,11,209563-40,FLANTECH,"CHAPA GR LTQ 9,00 SAE1010","9,0000","1.200,0000","2.000,0000","0,00","2,53","11.576,00","29.287,28"
02-09-2015,0169883,11,203984-10,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,60","2.219,00","13.047,72"
02-09-2015,0169883,11,203984-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L32 BbOL","0,3000","260,0000","0,0000","0,00","5,60","1.057,00","6.215,16"
02-09-2015,0169883,11,211759-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,60","429,00","2.522,52"
02-09-2015,0169883,11,211759-30,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,00","1.050,00","4.410,00"
02-09-2015,0169913,11,211709-10,LUPEME,"TIRA FF BOB 1,20 NBR5915 EP OL","1,2000","30,0000","0,0000","0,00","3,24","1.523,00","5.181,25"
02-09-2015,0169914,11,212842-10,MRPLASTDO,"TIRA FQ DEC BOB 4,75 NBR6658 OL","4,7500","55,0000","0,0000","0,00","3,39","937,00","3.176,43"
02-09-2015,0169916,11,208896-10,MAQENGE,"TIRA FF BOB 0,60 NBR5915 EM OL","0,6000","213,0000","0,0000","0,00","3,53","2.658,00","9.851,88"
02-10-2015,0171583,11,215003-40,FLANTECH,"CHAPA GR LTQ 9,00 SAE1010","9,0000","1.200,0000","2.000,0000","0,00","2,42","6.427,00","15.553,34"
02-10-2015,0171570,11,213940-10,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","290,0000","0,0000","0,00","3,36","1.032,00","3.640,90"
02-10-2015,0171571,11,211759-10,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L32 BbOL","0,3000","260,0000","0,0000","0,00","5,60","2.275,00","13.377,00"
02-10-2015,0171571,11,203984-10,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","260,0000","0,0000","0,00","5,60","3.291,00","19.351,08"
02-10-2015,0171571,11,211761-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,60","1.068,00","6.279,84"
02-12-2015,0174899,11,218180-20,VECTOR,"BLANK GA FF 0,90 NBR6658 OL","0,9000","654,0000","297,0000","0,00","3,44","1.385,00","5.002,62"
02-12-2015,0174904,11,218273-10,KEKO,"CHAPA FQ 2,00 SAE1010","2,0000","1.200,0000","3.000,0000","0,00","2,52","4.423,00","11.993,63"
02-12-2015,0174904,11,218273-30,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.500,0000","3.000,0000","0,00","2,47","4.455,00","11.846,51"
02-12-2015,0174904,11,218029-40,KEKO,"CHAPA FQ 4,25 SAE1020","4,2500","1.200,0000","3.000,0000","0,00","2,40","2.984,00","7.715,59"
02-12-2015,0174904,11,218273-50,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","2,47","2.009,00","5.342,23"
03-02-2015,0157555,11,195788-30,METMETALCIN,"TR REL 0,30 BOB NBR5007 G4RL BbOL","0,3000","260,0000","0,0000","0,00","5,80","1.924,00","11.717,16"
03-02-2015,0157554,11,195779-50,METMETALCIN,"TIRA FF BOB 0,75 NBR5915 EEP OL","0,7500","67,0000","0,0000","0,00","4,30","1.518,00","6.853,77"
03-03-2015,0159315,11,200978-30,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.200,0000","3.000,0000","0,00","2,42","2.680,00","6.973,93"
03-03-2015,0159349,11,201592-10,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","213,0000","0,0000","0,00","3,28","2.684,00","9.243,70"
03-03-2015,0159314,11,202668-10,KEKO,"CHAPA FF 1,20 NBR5915 EEP OL","1,2000","1.200,0000","2.610,0000","0,00","3,04","501,00","1.631,93"
03-03-2015,0159314,11,202606-20,KEKO,"CHAPA FQ 2,00 SAE1010","2,0000","1.200,0000","3.000,0000","0,00","2,71","1.494,00","4.348,82"
03-03-2015,0159314,11,202608-30,KEKO,"CHAPA FQ 3,00 SAE1010","3,0000","1.200,0000","3.000,0000","0,00","2,52","1.864,00","5.053,97"
03-03-2015,0159314,11,202606-40,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","2,47","2.939,00","7.814,37"
03-03-2015,0159314,11,202607-40,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","2,47","1.472,00","3.913,83"
03-03-2015,0159314,11,202688-40,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","2,47","2.941,00","7.819,69"
03-03-2015,0159314,11,202733-60,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.200,0000","3.000,0000","0,00","2,47","2.420,00","6.434,44"
03-03-2015,0159350,11,198812-30,METMETALCIN,"TR REL 0,35 BOB NBR5007 G2L32 BbOL","0,3500","260,0000","0,0000","0,00","5,80","2.924,00","17.807,16"
03-03-2015,0159350,11,198812-40,METMETALCIN,"TR REL 0,40 BOB NBR5007 G4RL BbOL","0,4000","260,0000","0,0000","0,00","5,80","2.946,00","17.941,14"
03-03-2015,0002352,15,202866-10,MAQENGE,"TIRA FF BOB 0,60 SAE1006 OL","0,6000","290,0000","0,0000","0,00","3,28","1.270,00","4.373,88"
03-03-2015,0159413,11,202606-20,KEKO,"CHAPA FQ 2,00 SAE1010","2,0000","1.200,0000","3.000,0000","0,00","2,71","1.482,00","4.313,69"
03-03-2015,0159413,11,202610-30,KEKO,"CHAPA FQ 3,00 SAE1010","3,0000","1.200,0000","3.000,0000","0,00","2,52","1.481,00","4.015,33"
03-03-2015,0159413,11,202733-40,KEKO,"CHAPA GR LTQ 6,30 SAE1010","6,3000","1.200,0000","3.000,0000","0,00","2,47","1.469,00","3.905,70"
03-03-2015,0159413,11,202688-60,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.200,0000","3.000,0000","0,00","2,47","2.999,00","7.973,52"
03-03-2015,0159413,11,202695-60,KEKO,"CHAPA FQ 4,25 SAE1010","4,2500","1.200,0000","3.000,0000","0,00","2,47","3.029,00","8.053,28"
