Date,Inv,Est,Order,Client,Descrip,Thk,Wd,Length,Piece_price,KG_price,Quantity,Total
01-06-2020,0266553,11,298168-10,FLANTECH,"TIRA ZC BOB 1,25 NBR7008 ZC CR NO REV","1,2500","23,5000","0,0000","0,00","5,77","2.450,00","14.136,50"
01-06-2020,0266552,11,297776-10,METALMATRIX,"TIRA ZC BOB 1,55 NBR7008 ZC CR MI REV","1,5500","20,0000","0,0000","0,00","5,63","4.109,00","24.290,35"
01-07-2020,0268158,11,292178-10,METALMATRIX,"TIRA ZC BOB 1,11 NBR7008 ZC CR MI RV Z","1,1100","75,0000","0,0000","0,00","5,34","8.740,00","49.005,18"
01-09-2020,0272197,11,303005-10,BRIMEL,"TIRA FF BOB 0,60 NBR5915 EEP OL","0,6000","52,0000","0,0000","0,00","5,65","1.404,00","8.329,23"
01-09-2020,0272197,11,303005-20,BRIMEL,"TIRA FF BOB 0,60 NBR5915 EEP OL","0,6000","25,0000","0,0000","0,00","5,65","659,00","3.909,52"
01-09-2020,0272224,11,301105-20,METALMATRIX,"TIRA ZC BOB 1,55 NBR7008 ZC CR MI REV","1,5500","20,0000","0,0000","0,00","5,91","2.688,00","16.680,38"
01-09-2020,0272224,11,301105-30,METALMATRIX,"TIRA ZC BOB 1,55 NBR7008 ZC CR MI REV","1,5500","20,0000","0,0000","0,00","5,91","3.768,00","23.382,32"
01-09-2020,0272226,11,306273-10,MOFERKO,"CHAPA GR LTQ 8,00 NBR8300","8,0000","1.500,0000","3.000,0000","0,00","4,52","2.333,00","11.072,42"
01-10-2020,0274437,11,306100-10,LUPEME,"TIRA FQ DEC BOB 2,65 NBR6658 OL","2,6500","77,0000","0,0000","0,00","4,82","726,00","3.674,29"
01-10-2020,0274337,11,305312-10,ALCAST,"TIRA ZC BOB 1,25 NBR7008 ZC CR MI REV","1,2500","40,0000","0,0000","0,00","5,24","9.751,00","53.650,00"
02-01-2020,0259114,11,293248-30,MOFERKO,"CHAPA FF 1,50 NBR6658 OL","1,5000","1.200,0000","3.000,0000","0,00","4,05","1.105,00","4.699,01"
02-01-2020,0259114,11,293248-40,MOFERKO,"CHAPA GR LTQ 6,30 NBR8300","6,3000","1.200,0000","3.000,0000","0,00","3,69","1.108,00","4.292,95"
02-01-2020,0259115,11,287244-20,METMETALCIN,"TR REL 0,30 BOB NBR5007 G2L290 BbOL","0,3000","250,0000","0,0000","0,00","7,20","2.283,00","17.259,48"
02-01-2020,0259115,11,290477-20,METMETALCIN,"TR REL 0,35 BOB NBR5007 G2L32 BbOL","0,3500","260,0000","0,0000","0,00","7,20","1.388,00","10.493,28"
02-01-2020,0259115,11,287244-30,METMETALCIN,"TR REL 0,35 BOB NBR5007 G4RL BbOL","0,3500","250,0000","0,0000","0,00","7,20","1.092,00","8.255,52"
